,BIOGRAPHICAL INFORMATION,,,,,,,,,,,,,,TEST SCORES,,,,,,,,,,,,,,,OUTPUT
197,SrG,13,JUN,Y7,A,E,95.68,88.5,Y14,Y16,X,B,80.2,Y20,35.8490566,50.31847134,63.63636364,63.19018405,49.18032787,68.86227545,62.01117318,52.60115607,46.42857143,71.22302158,55.86206897,62.04379562,56.36363636,68.35443038,51.72413793,MP
199,SdN,9,FEB,Y7,A,D,91.67,90.67,Y13,Y15,X,B,70.43,Y20,41.50943396,77.07006369,74.54545455,48.46625767,59.01639344,67.66467066,68.7150838,66.47398844,41.07142857,74.10071942,51.72413793,57.66423358,76.36363636,81.01265823,72.4137931,BP
201,PaA,12,MAR,Y7,B,E,87.04,82.83,Y14,Y16,X,B,72.3,Y20,28.30188679,54.14012739,60,58.28220859,11.47540984,46.10778443,49.72067039,47.97687861,42.85714286,59.71223022,66.89655172,72.26277372,63.63636364,70.88607595,60.91954023,BP
202,MiP,13,DEC,Y7,B,E,85.76,85.67,Y14,Y16,X,I,75.07,Y20,37.73584906,65.60509554,62.42424242,57.05521472,36.06557377,56.88622754,54.18994413,59.53757225,32.14285714,45.32374101,69.65517241,60.58394161,69.09090909,63.29113924,72.4137931,BP
204,MiK,12,OCT,Y7,B,E,83.52,70.5,Y14,Y16,X,I,72.81,Y20,45.28301887,68.15286624,61.21212121,65.64417178,42.62295082,61.67664671,51.95530726,65.31791908,30.35714286,51.07913669,53.10344828,62.04379562,43.63636364,73.41772152,31.03448276,MP
205,AaB,21,SEP,Y7,B,O,82.8,73,Y14,Y16,X,B,62.88,Y20,56.60377358,96.17834395,62.42424242,71.7791411,21.31147541,58.08383234,49.72067039,54.9132948,28.57142857,52.51798561,43.44827586,57.66423358,65.45454545,60.75949367,65.51724138,MP
206,NjV,13,FEB,Y7,A,J,84.8,75,Y13,Y15,X,B,74.68,Y20,67.9245283,74.52229299,87.87878788,53.37423313,62.29508197,76.04790419,54.18994413,58.38150289,76.78571429,91.36690647,71.03448276,85.40145985,72.72727273,63.29113924,77.01149425,BP
208,NaD,12,SEP,Y7,B,E,91.2,84.33,Y14,Y16,X,B,61.96,Y20,49.05660377,71.97452229,56.36363636,74.23312883,31.14754098,53.29341317,63.12849162,50.28901734,26.78571429,48.20143885,42.06896552,72.26277372,76.36363636,73.41772152,79.31034483,LP
209,VnJ,9,MAR,Y6,A,J,79.65,75.17,Y14,Y16,X,L,70.5,Y20,37.73584906,65.60509554,66.06060606,57.05521472,49.18032787,72.45508982,51.95530726,52.60115607,30.35714286,68.34532374,36.55172414,50.3649635,81.81818182,83.5443038,81.6091954,BP
210,VhA,12,NOV,Y6,A,D,96.5,94.33,Y14,Y16,X,K,82.65,Y20,28.30188679,59.23566879,0,0,50.81967213,0,0,0,41.07142857,0,0,0,MD,65.82278481,74.71264368,BP
212,AhM,10,MAR,Y6,A,H,73.2,69.6,Y12,Y14,X,K,77.23,Y20,60.37735849,60.50955414,74.54545455,76.68711656,47.54098361,66.46706587,58.65921788,71.0982659,46.42857143,66.90647482,58.62068966,72.26277372,69.09090909,88.60759494,70.11494253,BP
215,VnT,11,JUL,Y7,A,D,88.4,79.6,Y14,Y16,X,B,71.65,Y20,66.03773585,66.87898089,58.78787879,84.04907975,MD,77.24550898,73.18435754,57.22543353,73.21428571,85.61151079,65.51724138,88.32116788,83.63636364,63.29113924,93.10344828,BP
217,KyS,15,SEP,Y7,A,J,89.4,81.6,Y14,Y16,X,B,74.45,Y20,71.69811321,77.07006369,79.39393939,84.04907975,59.01639344,71.25748503,72.06703911,58.38150289,42.85714286,56.83453237,58.62068966,72.26277372,67.27272727,70.88607595,72.4137931,BP
218,JyD,12,APR,Y7,A,D,88.6,85.8,Y14,Y16,X,B,76.07,Y20,66.03773585,60.50955414,79.39393939,76.68711656,32.78688525,64.07185629,60.89385475,63.00578035,58.92857143,64.02877698,65.51724138,83.94160584,78.18181818,73.41772152,81.6091954,BP
220,TnS,13,MAY,Y8,A,J,75.4,76.67,Y14,Y16,X,B,68.44,Y20,35.8490566,63.05732484,58.78787879,60.73619632,73.7704918,80.83832335,72.06703911,86.12716763,48.21428571,61.15107914,62.75862069,70.80291971,87.27272727,91.13924051,83.90804598,BP
222,AaS,13,DEC,Y7,A,J,80,81.6,Y14,Y16,X,B,76.05,Y20,64.1509434,74.52229299,69.6969697,80.36809816,63.93442623,82.03592814,83.24022346,84.97109827,67.85714286,69.78417266,73.79310345,89.7810219,78.18181818,91.13924051,67.81609195,BP
225,AtS,15,FEB,Y7,A,B,70.6,82.4,Y14,Y16,X,B,80.98,Y20,39.62264151,69.42675159,66.06060606,58.28220859,62.29508197,73.65269461,59.77653631,83.8150289,58.92857143,82.73381295,71.03448276,59.12408759,85.45454545,88.60759494,81.6091954,BP
228,RaN,17,JAN,Y1,B,D,88.8,87.6,Y14,Y16,X,B,77.63,Y20,45.28301887,60.50955414,67.27272727,65.64417178,52.45901639,65.26946108,66.48044693,56.06936416,42.85714286,59.71223022,65.51724138,59.12408759,63.63636364,55.69620253,67.81609195,MD
229,AhR,8,NOV,Y7,A,D,82.2,81.2,Y14,Y16,X,H,70.3,Y20,39.62264151,64.33121019,62.42424242,68.09815951,55.73770492,52.09580838,73.18435754,67.6300578,58.92857143,82.73381295,58.62068966,70.80291971,40,50.63291139,35.63218391,BP
231,NiS,14,AUG,Y7,B,D,94.33,85,Y14,Y16,X,E,82,Y20,83.01886792,80.89171975,87.87878788,69.32515337,47.54098361,60.47904192,64.24581006,66.47398844,55.35714286,72.6618705,61.37931034,75.18248175,89.09090909,83.5443038,86.20689655,BP
235,AhP,10,NOV,Y7,A,J,93,81.8,Y14,Y16,X,B,80.7,Y20,58.49056604,74.52229299,56.36363636,81.59509202,60.6557377,74.8502994,73.18435754,65.31791908,53.57142857,85.61151079,55.86206897,67.88321168,85.45454545,83.5443038,86.20689655,BP
237,AaK,12,MAR,Y6,A,N,87.73,85.5,Y13,Y15,X,B,70.1,Y20,84.90566038,91.08280255,87.87878788,93.86503067,81.96721311,88.0239521,68.7150838,88.43930636,66.07142857,85.61151079,72.4137931,67.88321168,92.72727273,86.07594937,95.40229885,BP
239,MnV,25,NOV,Y7,A,E,62.92,68,Y14,Y16,X,K,62,Y20,50.94339623,61.78343949,57.57575758,77.91411043,14.75409836,65.26946108,38.54748603,61.84971098,19.64285714,39.56834532,43.44827586,62.04379562,45.45454545,60.75949367,40.22988506,BP
242,PtJ,13,JUL,Y7,A,J,88.4,84.4,Y14,Y16,X,B,76.12,Y20,47.16981132,64.33121019,53.93939394,70.55214724,54.09836066,79.64071856,62.01117318,80.34682081,51.78571429,68.34532374,55.86206897,79.5620438,96.36363636,93.67088608,95.40229885,BP
243,NaR,21,JAN,Y7,A,E,73.12,75.67,Y14,Y16,X,B,65.15,Y20,50.94339623,60.50955414,69.6969697,68.09815951,49.18032787,72.45508982,65.36312849,76.87861272,53.57142857,79.85611511,66.89655172,59.12408759,63.63636364,91.13924051,47.12643678,BP
244,AhN,12,OCT,Y6,A,E,70.88,76.33,Y14,Y16,X,B,74.72,Y20,47.16981132,64.33121019,69.6969697,68.09815951,49.18032787,68.86227545,72.06703911,54.9132948,53.57142857,78.41726619,60,63.50364964,72.72727273,83.5443038,65.51724138,BP
245,MjD,10,NOV,Y7,A,E,73.28,80.33,Y14,Y16,X,B,64.07,Y20,64.1509434,71.97452229,68.48484848,77.91411043,40.98360656,67.66467066,60.89385475,51.44508671,37.5,69.78417266,50.34482759,50.3649635,63.63636364,81.01265823,51.72413793,BP
246,AtS,13,FEB,Y8,A,J,85,89,Y14,Y16,X,B,73.49,Y20,73.58490566,82.1656051,83.03030303,80.36809816,68.85245902,79.64071856,74.30167598,60.69364162,48.21428571,64.02877698,58.62068966,72.26277372,76.36363636,88.60759494,72.4137931,BP
248,TnJ,13,DEC,Y5,A,H,89.4,70.1,Y12,Y14,X,L,77.6,Y20,49.05660377,69.42675159,52.72727273,69.32515337,54.09836066,76.04790419,63.12849162,65.31791908,35.71428571,58.27338129,62.75862069,51.82481752,70.90909091,75.94936709,67.81609195,MD
250,RiC,12,FEB,Y8,B,D,80.6,74.4,Y14,Y16,X,E,70.1,Y20,33.96226415,59.23566879,60,59.50920245,32.78688525,62.8742515,59.77653631,56.06936416,21.42857143,74.10071942,43.44827586,48.90510949,50.90909091,60.75949367,51.72413793,MD
255,AhD,15,JUL,Y6,A,H,79.8,72.2,Y13,Y15,X,B,73.35,Y20,71.69811321,69.42675159,83.03030303,60.73619632,42.62295082,71.25748503,60.89385475,58.38150289,MD,85.61151079,66.89655172,63.50364964,MD,78.48101266,54.02298851,BP
256,AdM,16,JUN,Y8,A,B,86.6,84.2,Y14,Y16,X,B,71.1,Y20,39.62264151,56.68789809,67.27272727,63.19018405,39.3442623,53.29341317,54.18994413,75.72254335,32.14285714,52.51798561,50.34482759,59.12408759,69.09090909,60.75949367,72.4137931,BP
259,RdV,22,MAY,Y7,A,D,84.8,81.6,Y13,Y15,X,B,75.8,Y20,45.28301887,74.52229299,73.33333333,57.05521472,62.29508197,76.04790419,66.48044693,54.9132948,57.14285714,71.22302158,76.55172414,62.04379562,61.81818182,68.35443038,60.91954023,BP
262,AaK,14,JUL,Y7,A,E,90.88,80.83,Y14,Y16,X,B,64.02,Y20,86.79245283,89.8089172,89.09090909,96.3190184,39.3442623,74.8502994,54.18994413,63.00578035,48.21428571,71.22302158,51.72413793,66.42335766,65.45454545,73.41772152,63.2183908,BP
263,TnD,12,AUG,Y7,A,B,84.4,78.4,Y14,Y16,X,B,76.5,Y20,67.9245283,66.87898089,79.39393939,53.37423313,50.81967213,66.46706587,69.83240223,60.69364162,50,69.78417266,55.86206897,75.18248175,29.09090909,32.91139241,28.73563218,BP
264,SrK,10,FEB,Y6,A,H,67.71,64.3,Y11,Y13,X,K,75.22,Y20,49.05660377,61.78343949,70.90909091,66.87116564,57.37704918,72.45508982,59.77653631,76.87861272,41.07142857,75.53956835,57.24137931,56.20437956,83.63636364,91.13924051,81.6091954,BP
266,MdU,13,DEC,Y7,A,E,90.72,77,Y14,Y16,X,L,72,Y20,39.62264151,80.89171975,58.78787879,61.96319018,44.26229508,61.67664671,60.89385475,66.47398844,39.28571429,59.71223022,58.62068966,62.04379562,49.09090909,60.75949367,44.82758621,MP
268,YhP,16,MAY,Y8,A,E,85.92,88.5,Y14,Y16,X,B,64.5,Y20,67.9245283,65.60509554,79.39393939,70.55214724,36.06557377,58.08383234,53.0726257,65.31791908,60.71428571,82.73381295,80.68965517,63.50364964,67.27272727,83.5443038,58.62068966,MP
269,KrR,19,APR,Y6,A,Q,86,67.8,Y12,Y14,X,B,76.95,Y20,69.81132075,83.43949045,60,85.27607362,47.54098361,61.67664671,63.12849162,64.16184971,58.92857143,74.10071942,58.62068966,89.7810219,81.81818182,83.5443038,81.6091954,BP
270,CaK,15,JUL,Y7,B,E,89.6,86.5,Y14,Y16,X,B,71.21,Y20,41.50943396,66.87898089,68.48484848,57.05521472,26.2295082,58.08383234,50.83798883,54.9132948,32.14285714,49.64028777,54.48275862,62.04379562,41.81818182,65.82278481,31.03448276,MP
272,PyR,13,SEP,Y6,B,D,84.2,78,Y13,Y15,X,E,72.3,Y20,71.69811321,79.61783439,80.60606061,64.41717791,34.42622951,58.08383234,62.01117318,61.84971098,37.5,64.02877698,50.34482759,57.66423358,80,91.13924051,72.4137931,BP
278,RlB,12,MAY,Y7,B,D,89.4,75,Y13,Y15,X,B,72.19,Y20,54.71698113,71.97452229,58.78787879,71.7791411,54.09836066,71.25748503,60.89385475,64.16184971,37.5,59.71223022,57.24137931,57.66423358,74.54545455,75.94936709,74.71264368,BP
279,AgJ,10,MAR,Y8,A,B,81.2,85.11,Y14,Y16,X,L,71.15,Y20,37.73584906,59.23566879,58.78787879,69.32515337,70.49180328,72.45508982,73.18435754,79.19075145,60.71428571,76.97841727,62.75862069,76.64233577,65.45454545,78.48101266,60.91954023,BP
281,PtV,14,JAN,Y7,A,E,90.4,87,Y14,Y16,X,B,74.84,Y20,69.81132075,78.34394904,81.81818182,57.05521472,45.90163934,70.05988024,60.89385475,67.6300578,60.71428571,74.10071942,60,82.48175182,45.45454545,65.82278481,37.93103448,BP
282,SiH,14,JUN,Y7,B,J,85.2,76.4,Y14,Y16,X,B,73.12,Y20,50.94339623,66.87898089,67.27272727,66.87116564,34.42622951,53.29341317,53.0726257,60.69364162,42.85714286,56.83453237,69.65517241,63.50364964,76.36363636,73.41772152,79.31034483,MP
284,MiK,11,DEC,Y6,B,E,76,64,Y14,Y16,X,B,64.23,Y20,33.96226415,61.78343949,52.72727273,63.19018405,19.67213115,65.26946108,48.60335196,54.9132948,26.78571429,51.07913669,69.65517241,51.82481752,70.90909091,63.29113924,74.71264368,MP
285,SiM,14,MAY,Y7,A,E,82.56,81.66,Y14,Y16,X,B,72.25,Y20,64.1509434,71.97452229,76.96969697,73.00613497,34.42622951,60.47904192,49.72067039,52.60115607,53.57142857,84.17266187,57.24137931,69.34306569,74.54545455,75.94936709,74.71264368,BP
289,RiS,11,SEP,Y7,A,B,79.8,70.8,Y14,Y16,X,B,69.77,Y20,67.9245283,70.70063694,72.12121212,80.36809816,54.09836066,73.65269461,63.12849162,65.31791908,57.14285714,75.53956835,75.17241379,56.20437956,85.45454545,78.48101266,86.20689655,MP
290,PdG,17,OCT,Y7,A,E,88.64,68.33,Y14,Y16,X,L,69.89,Y20,35.8490566,64.33121019,51.51515152,65.64417178,49.18032787,65.26946108,38.54748603,60.69364162,23.21428571,71.22302158,54.48275862,50.3649635,41.81818182,63.29113924,31.03448276,LP
293,SaA,10,AUG,Y7,B,E,85.92,82.5,Y14,Y16,X,B,72.52,Y20,20.75471698,60.50955414,53.93939394,57.05521472,45.90163934,58.08383234,66.48044693,61.84971098,44.64285714,71.22302158,50.34482759,62.04379562,61.81818182,53.16455696,65.51724138,BP
300,MjU,15,OCT,Y7,A,A,84.01,84.51,Y14,Y16,X,B,85.9,Y20,41.50943396,61.78343949,61.21212121,65.64417178,31.14754098,52.09580838,49.72067039,64.16184971,55.35714286,81.29496403,51.72413793,81.02189781,43.63636364,48.10126582,42.52873563,BP
303,DnS,9,MAY,Y6,A,A,69.63,72.58,Y13,Y15,X,C,68.9,Y20,22.64150943,87.2611465,45.45454545,55.82822086,24.59016393,62.8742515,41.89944134,56.06936416,39.28571429,61.15107914,66.89655172,51.82481752,36.36363636,37.97468354,37.93103448,MP
304,IiD,6,DEC,Y7,B,K,85.5,84.77,Y14,Y16,X,B,75.3,Y20,26.41509434,56.68789809,57.57575758,54.60122699,44.26229508,62.8742515,60.89385475,60.69364162,35.71428571,55.39568345,60,56.20437956,54.54545455,65.82278481,51.72413793,BP
308,AnV,10,SEP,Y7,A,D,90.16,89.5,Y14,Y16,X,B,71.83,Y20,56.60377358,73.24840764,64.84848485,76.68711656,75.40983607,84.43113772,73.18435754,58.38150289,62.5,75.53956835,76.55172414,69.34306569,78.18181818,73.41772152,81.6091954,BP
309,SyS,13,MAR,Y7,B,E,90.4,88.66,Y14,Y16,X,B,66.44,Y20,67.9245283,87.2611465,83.03030303,68.09815951,MD,52.09580838,59.77653631,61.84971098,MD,84.17266187,68.27586207,72.26277372,52.72727273,68.35443038,51.72413793,LP
311,SaJ,10,DEC,Y4,B,H,84.85,67.5,Y12,Y14,X,B,79.4,Y20,32.0754717,65.60509554,58.78787879,63.19018405,52.45901639,72.45508982,59.77653631,53.75722543,42.85714286,56.83453237,62.75862069,67.88321168,50.90909091,55.69620253,49.42528736,BP
314,JnG,15,JUN,Y7,A,D,87.2,84.6,Y14,Y16,X,B,69.54,Y20,45.28301887,73.24840764,62.42424242,64.41717791,42.62295082,67.66467066,57.54189944,65.31791908,62.5,71.22302158,72.4137931,78.10218978,52.72727273,65.82278481,54.02298851,MP
315,AaE,13,SEP,Y6,B,K,86,84.6,Y12,Y14,X,B,65.5,Y20,71.69811321,63.05732484,80.60606061,76.68711656,63.93442623,77.24550898,68.7150838,81.50289017,55.35714286,75.53956835,58.62068966,78.10218978,81.81818182,65.82278481,88.50574713,BP
316,MiS,13,FEB,Y8,B,R,83.83,93.7,Y14,Y16,X,J,88.75,Y20,67.9245283,89.8089172,63.63636364,80.36809816,42.62295082,65.26946108,60.89385475,50.28901734,55.35714286,79.85611511,72.4137931,60.58394161,72.72727273,65.82278481,74.71264368,BP
318,MaB,13,FEB,Y7,B,E,84.4,79.2,Y14,Y16,X,B,78.03,Y20,60.37735849,75.79617834,75.75757576,60.73619632,26.2295082,68.86227545,45.25139665,50.28901734,58.92857143,79.85611511,73.79310345,62.04379562,49.09090909,75.94936709,37.93103448,MP
322,SaC,12,FEB,Y6,B,L,84.6,69.4,Y13,Y15,X,B,72.2,Y20,67.9245283,69.42675159,56.36363636,79.14110429,42.62295082,61.67664671,62.01117318,63.00578035,41.07142857,56.83453237,62.75862069,63.50364964,60,68.35443038,58.62068966,BP
324,BaA,13,JUN,Y7,B,E,77.67,86.67,Y14,Y16,X,B,78.22,Y20,43.39622642,65.60509554,68.48484848,55.82822086,49.18032787,68.86227545,58.65921788,54.9132948,28.57142857,62.58992806,39.31034483,50.3649635,67.27272727,68.35443038,65.51724138,BP
326,RhG,13,OCT,Y7,A,A,91,89,Y14,Y16,X,B,71.6,Y20,39.62264151,71.97452229,56.36363636,61.96319018,39.3442623,50.89820359,60.89385475,46.82080925,39.28571429,56.83453237,55.86206897,66.42335766,67.27272727,78.48101266,63.2183908,BP
329,KaP,12,FEB,Y7,B,A,87.9,94.08,Y13,Y16,X,B,86.5,Y20,16.98113208,64.33121019,53.93939394,48.46625767,27.86885246,55.68862275,46.36871508,54.9132948,48.21428571,66.90647482,66.89655172,63.50364964,63.63636364,55.69620253,67.81609195,BP
332,FmP,10,MAY,Y7,A,D,63.4,68.4,Y14,Y16,X,B,65.95,Y20,37.73584906,66.87898089,51.51515152,64.41717791,50.81967213,65.26946108,68.7150838,64.16184971,60.71428571,85.61151079,62.75862069,78.10218978,61.81818182,58.2278481,67.81609195,BP
333,AuB,15,JUN,Y8,A,C,83.83,92.8,Y14,Y16,X,B,76.71,Y20,69.81132075,69.42675159,78.18181818,81.59509202,62.29508197,65.26946108,69.83240223,59.53757225,66.07142857,79.85611511,61.37931034,86.86131387,69.09090909,63.29113924,72.4137931,MP
334,SaR,15,AUG,Y7,B,E,91.8,71,Y14,Y16,X,D,70.7,Y20,41.50943396,54.14012739,57.57575758,79.14110429,19.67213115,50.89820359,43.01675978,52.60115607,26.78571429,52.51798561,43.44827586,51.82481752,27.27272727,32.91139241,28.73563218,LP
337,ByA,10,SEP,Y6,A,D,91.67,86.5,Y13,Y15,X,B,64.7,Y20,30.18867925,61.78343949,63.63636364,53.37423313,34.42622951,47.30538922,54.18994413,64.16184971,35.71428571,68.34532374,54.48275862,50.3649635,65.45454545,63.29113924,65.51724138,LP
340,SiS,13,MAY,Y7,B,C,76,88.6,Y14,Y17,X,B,74.46,Y20,52.83018868,73.24840764,60,69.32515337,50.81967213,68.86227545,62.01117318,56.06936416,46.42857143,68.34532374,65.51724138,57.66423358,40,73.41772152,24.13793103,LP
341,ItG,16,FEB,Y8,A,A,82.27,83.25,Y14,Y16,X,C,66.25,Y20,52.83018868,66.87898089,63.63636364,70.55214724,39.3442623,53.29341317,56.42458101,61.84971098,32.14285714,61.15107914,47.5862069,54.74452555,49.09090909,60.75949367,42.52873563,MP
342,SmP,12,JUL,Y8,B,S,81.5,88.8,Y14,Y16,X,B,89.7,Y20,54.71698113,77.07006369,62.42424242,59.50920245,62.29508197,89.22155689,73.18435754,81.50289017,60.71428571,75.53956835,66.89655172,79.5620438,74.54545455,70.88607595,81.6091954,BP
344,VeS,15,JUN,Y7,A,D,81,80.8,Y14,Y16,X,L,83.4,Y20,52.83018868,68.15286624,63.63636364,73.00613497,44.26229508,52.09580838,69.83240223,65.31791908,44.64285714,66.90647482,55.86206897,66.42335766,70.90909091,60.75949367,81.6091954,MP
345,SbL,11,AUG,Y7,A,C,86.67,95.4,Y14,Y16,X,B,80.34,Y20,69.81132075,91.08280255,58.78787879,80.36809816,55.73770492,71.25748503,60.89385475,78.03468208,37.5,65.4676259,47.5862069,57.66423358,50.90909091,75.94936709,37.93103448,MP
347,JhM,13,MAY,Y7,A,D,78.33,91.83,Y14,Y16,X,B,70.95,Y20,69.81132075,60.50955414,67.27272727,80.36809816,47.54098361,66.46706587,65.36312849,61.84971098,51.78571429,82.73381295,57.24137931,59.12408759,54.54545455,53.16455696,54.02298851,BP
350,ShN,12,MAY,Y6,A,E,69.92,80.16,Y14,Y17,X,B,70.13,Y20,39.62264151,66.87898089,56.36363636,63.19018405,22.95081967,50.89820359,50.83798883,49.13294798,42.85714286,79.85611511,54.48275862,66.42335766,54.54545455,65.82278481,56.32183908,MP
352,SaS,12,MAY,Y7,B,D,87.6,88,Y14,Y16,X,B,67.8,Y20,32.0754717,60.50955414,58.78787879,57.05521472,24.59016393,59.28143713,45.25139665,50.28901734,55.35714286,65.4676259,61.37931034,83.94160584,58.18181818,68.35443038,54.02298851,BP
354,PiS,18,JUL,Y8,B,K,86.4,87,Y14,Y16,X,B,83.8,Y20,58.49056604,74.52229299,75.75757576,66.87116564,60.6557377,78.44311377,69.83240223,76.87861272,55.35714286,79.85611511,57.24137931,69.34306569,80,88.60759494,74.71264368,BP
355,BuV,22,SEP,Y7,A,D,81,80,Y14,Y16,X,B,76,Y20,75.47169811,71.97452229,83.03030303,79.14110429,65.57377049,76.04790419,72.06703911,81.50289017,46.42857143,69.78417266,47.5862069,67.88321168,81.81818182,73.41772152,88.50574713,BP
356,SnM,19,OCT,Y7,A,D,93.5,90.33,Y14,Y16,X,B,66.43,Y20,35.8490566,71.97452229,52.72727273,66.87116564,24.59016393,53.29341317,50.83798883,54.9132948,50,69.78417266,58.62068966,70.80291971,72.72727273,78.48101266,70.11494253,BP
357,PlM,13,AUG,Y6,A,D,90.8,66.2,Y13,Y15,X,B,62.56,Y20,66.03773585,82.1656051,81.81818182,59.50920245,47.54098361,59.28143713,62.01117318,60.69364162,39.28571429,71.22302158,37.93103448,70.80291971,49.09090909,45.56962025,51.72413793,LP
358,BnD,11,NOV,Y7,A,A,97.8,95.3,Y14,Y16,X,B,83.9,Y20,64.1509434,93.63057325,75.75757576,71.7791411,40.98360656,76.04790419,56.42458101,52.60115607,25,42.44604317,50.34482759,70.80291971,74.54545455,81.01265823,70.11494253,BP
359,DaV,10,DEC,Y6,B,D,80.6,69,Y13,Y15,X,C,81.9,Y20,39.62264151,0,0,0,24.59016393,0,0,0,32.14285714,0,0,0,52.72727273,81.01265823,70.11494253,BP
361,VaS,11,OCT,Y7,B,E,82.24,88.67,Y14,Y16,X,B,71.88,Y20,39.62264151,68.15286624,66.06060606,55.82822086,40.98360656,76.04790419,65.36312849,56.06936416,37.5,69.78417266,42.06896552,57.66423358,74.54545455,63.29113924,79.31034483,BP
363,PiR,14,SEP,Y7,B,A,87.36,86.92,Y14,Y16,X,C,79.2,Y20,73.58490566,69.42675159,83.03030303,71.7791411,27.86885246,54.49101796,47.48603352,54.9132948,50,65.4676259,61.37931034,75.18248175,74.54545455,73.41772152,74.71264368,BP
366,SaB,12,JUL,Y8,A,C,76,86.5,Y14,Y16,X,I,79.43,Y20,60.37735849,64.33121019,68.48484848,74.23312883,45.90163934,55.68862275,66.48044693,64.16184971,44.64285714,66.90647482,57.24137931,63.50364964,81.81818182,91.13924051,74.71264368,BP
369,AnK,9,JUL,Y8,A,A,79.09,77.58,Y14,Y16,X,B,67.9,Y20,43.39622642,54.14012739,69.6969697,70.55214724,44.26229508,65.26946108,50.83798883,64.16184971,14.28571429,41.00719424,37.93103448,56.20437956,43.63636364,55.69620253,40.22988506,LP
370,AuK,8,JUL,Y7,B,A,96.2,90.16,Y14,Y16,X,C,78.75,Y20,62.26415094,75.79617834,73.33333333,75.4601227,27.86885246,50.89820359,48.60335196,51.44508671,35.71428571,52.51798561,47.5862069,75.18248175,36.36363636,78.48101266,12.64367816,LP
371,TsT,12,MAR,Y7,A,D,78.86,71.75,Y14,Y16,X,L,80.6,Y20,45.28301887,71.97452229,64.84848485,64.41717791,32.78688525,48.50299401,63.12849162,54.9132948,42.85714286,62.58992806,54.48275862,67.88321168,65.45454545,81.01265823,58.62068966,LP
373,ShW,13,AUG,Y8,A,C,80.67,92.2,Y14,Y16,X,L,73.26,Y20,22.64150943,57.96178344,53.93939394,54.60122699,59.01639344,71.25748503,72.06703911,53.75722543,32.14285714,53.95683453,37.93103448,73.72262774,60,55.69620253,60.91954023,MD
375,SaB,20,DEC,Y7,B,C,91.33,91.6,Y14,Y16,X,B,85,Y20,45.28301887,63.05732484,69.6969697,64.41717791,50.81967213,68.86227545,60.89385475,56.06936416,28.57142857,69.78417266,54.48275862,62.04379562,72.72727273,78.48101266,70.11494253,LP
378,VyK,18,NOV,Y6,A,E,92,80.6,Y14,Y16,X,B,72.6,Y20,41.50943396,63.05732484,72.12121212,60.73619632,36.06557377,59.28143713,51.95530726,58.38150289,44.64285714,85.61151079,40.68965517,56.20437956,74.54545455,91.13924051,67.81609195,BP
380,AiD,12,FEB,Y8,B,C,90.32,97.2,Y14,Y16,X,B,87,Y20,43.39622642,78.34394904,64.84848485,55.82822086,86.8852459,82.03592814,82.12290503,94.21965318,57.14285714,76.97841727,73.79310345,72.26277372,87.27272727,83.5443038,86.20689655,BP
382,PyK,10,APR,Y7,B,B,79.6,80.8,Y13,Y15,X,B,88.2,Y20,64.1509434,61.78343949,81.81818182,76.68711656,40.98360656,58.08383234,68.7150838,65.31791908,53.57142857,81.29496403,62.75862069,62.04379562,61.81818182,68.35443038,56.32183908,BP
384,HaG,16,MAY,Y7,B,E,90.24,90.33,Y14,Y16,X,B,78.69,Y20,18.86792453,55.41401274,52.72727273,50.9202454,44.26229508,65.26946108,59.77653631,58.38150289,53.57142857,71.22302158,69.65517241,66.42335766,38.18181818,83.5443038,17.24137931,BP
387,XrB,12,JAN,Y8,A,A,81.45,88.25,Y14,Y16,X,B,78.5,Y20,49.05660377,73.24840764,58.78787879,66.87116564,40.98360656,61.67664671,58.65921788,49.13294798,46.42857143,69.78417266,47.5862069,82.48175182,61.81818182,50.63291139,67.81609195,BP
388,PaK,16,OCT,Y7,A,C,87,80.72,Y14,Y16,X,B,80.92,Y20,43.39622642,66.87898089,53.93939394,66.87116564,65.57377049,80.83832335,73.18435754,65.31791908,39.28571429,69.78417266,50.34482759,59.12408759,54.54545455,55.69620253,54.02298851,BP
391,RaV,23,AUG,Y7,B,K,76,76,Y13,Y15,X,B,77.5,Y20,50.94339623,74.52229299,80.60606061,55.82822086,57.37704918,73.65269461,59.77653631,65.31791908,55.35714286,74.10071942,57.24137931,83.94160584,76.36363636,75.94936709,79.31034483,BP
392,KnT,20,SEP,Y7,A,E,80.64,81.83,Y14,Y16,X,B,71.84,Y20,58.49056604,68.15286624,66.06060606,76.68711656,39.3442623,56.88622754,64.24581006,56.06936416,41.07142857,66.90647482,68.27586207,57.66423358,63.63636364,73.41772152,58.62068966,BP
393,NlM,12,APR,Y8,A,E,91.68,85.5,Y14,Y16,X,B,65.47,Y20,54.71698113,64.33121019,69.6969697,75.4601227,37.70491803,60.47904192,57.54189944,50.28901734,46.42857143,82.73381295,58.62068966,48.90510949,29.09090909,55.69620253,14.94252874,LP
396,SiY,12,NOV,Y7,B,D,90.82,95.5,Y14,Y16,X,C,79.6,Y20,49.05660377,77.07006369,79.39393939,57.05521472,32.78688525,59.28143713,50.83798883,49.13294798,26.78571429,48.20143885,43.44827586,62.04379562,78.18181818,65.82278481,81.6091954,BP
